nombre_usuario,numero_retweets,mes_y_anio
tcevans87,23,01 March
MarshWatching,23,02 March
juiceobox1,4229,03 March
HiHikeep4,0,04 March
bearbeardFIN,71,05 March
Ivan541617221,298,06 March
NewisNewis,13,07 March
Klompzz,0,08 March
glyphfix,6,09 March
FrankoLyashenko,371,10 March
WW1POET,5,11 March
edleddy66,14,12 March
canines4life,247,13 March
kiketo79,1,14 March
Bio437,54,15 March
glyphfix,6,16 March
gypsi_dawn,141,17 March
FuckPutinBot,0,18 March
D2055de,48,19 March
Belgian_Fella,54,20 March
NewisNewis,4,21 March
UglyIvar,48,22 March
PatrioticSpirit,0,23 March
GraciaRossiter,4,24 March
glyphfix,3,03 March
JulieStahlbaum,7,25 March
wolf4gang,58,26 March
exit266,1,27 March
OldBrokenSoldi1,16,28 March
